Data,Quantidade(mm)
30/06/43,0
01/07/43,0
02/07/43,0
03/07/43,0
04/07/43,0
05/07/43,0
06/07/43,0
07/07/43,0
08/07/43,0
09/07/43,0
10/07/43,0
11/07/43,0
12/07/43,0
13/07/43,0
14/07/43,0
15/07/43,0
16/07/43,0
17/07/43,0
18/07/43,0
19/07/43,0
20/07/43,0
21/07/43,0
22/07/43,0
23/07/43,0
24/07/43,0
25/07/43,0
26/07/43,0
27/07/43,0
28/07/43,0
29/07/43,0
30/07/43,0
31/07/43,0
01/08/43,0
02/08/43,0
03/08/43,0
04/08/43,0
05/08/43,0
06/08/43,0
07/08/43,0
08/08/43,0
09/08/43,0
10/08/43,0
11/08/43,0
12/08/43,0
13/08/43,0
14/08/43,0
15/08/43,0
16/08/43,0
17/08/43,0
18/08/43,0
19/08/43,0
20/08/43,0
21/08/43,0
22/08/43,0
23/08/43,0
24/08/43,0
25/08/43,0
26/08/43,0
27/08/43,0
28/08/43,0
29/08/43,0
30/08/43,0
31/08/43,0
01/09/43,0
02/09/43,0
03/09/43,0
04/09/43,0
05/09/43,0
06/09/43,0
07/09/43,0
08/09/43,0
09/09/43,0
10/09/43,0
11/09/43,0.6
12/09/43,8
13/09/43,3.4
14/09/43,0
15/09/43,0
16/09/43,0
17/09/43,0
18/09/43,0
19/09/43,0
20/09/43,0
21/09/43,0
22/09/43,0
23/09/43,2
24/09/43,1
25/09/43,0
26/09/43,0
27/09/43,0
28/09/43,0
29/09/43,0
30/09/43,0
01/10/43,0
02/10/43,0
03/10/43,0
04/10/43,7.2
05/10/43,24.3
06/10/43,0
07/10/43,0
08/10/43,0
09/10/43,0
10/10/43,11.5
11/10/43,37.7
12/10/43,0.2
13/10/43,0.1
14/10/43,0.5
15/10/43,3.1
16/10/43,0
17/10/43,0
18/10/43,0
19/10/43,0
20/10/43,0
21/10/43,0
22/10/43,0
23/10/43,57.4
24/10/43,11.4
25/10/43,0
26/10/43,10.4
27/10/43,0
28/10/43,9.4
29/10/43,0
30/10/43,0
31/10/43,0
01/11/43,11.6
02/11/43,0.5
03/11/43,0.6
04/11/43,35.6
05/11/43,0
06/11/43,7.5
07/11/43,0.5
08/11/43,0
09/11/43,9.4
10/11/43,0.2
11/11/43,5.4
12/11/43,0
13/11/43,0
14/11/43,0
15/11/43,0
16/11/43,0
17/11/43,0
18/11/43,32.7
19/11/43,0.9
20/11/43,0
21/11/43,0
22/11/43,0
23/11/43,0
24/11/43,17.4
25/11/43,0
26/11/43,0
27/11/43,0
28/11/43,0
29/11/43,0
30/11/43,0
01/12/43,25.5
02/12/43,6.3
03/12/43,0
04/12/43,30
05/12/43,0
06/12/43,0
07/12/43,0
08/12/43,15
09/12/43,0
10/12/43,0
11/12/43,0
12/12/43,33
13/12/43,0
14/12/43,10.3
15/12/43,0
16/12/43,0
17/12/43,0
18/12/43,0
19/12/43,0
20/12/43,0
21/12/43,15
22/12/43,22.4
23/12/43,7.2
24/12/43,0
25/12/43,19.5
26/12/43,31.1
27/12/43,0
28/12/43,0
29/12/43,0
30/12/43,0
31/12/43,0
01/01/44,0
02/01/44,0
03/01/44,9
04/01/44,0
05/01/44,19
06/01/44,0
07/01/44,8.3
08/01/44,0
09/01/44,0
10/01/44,0
11/01/44,0
12/01/44,5
13/01/44,0
14/01/44,4
15/01/44,0
16/01/44,0
17/01/44,0
18/01/44,26.5
19/01/44,0
20/01/44,0
21/01/44,0
22/01/44,0
23/01/44,0
24/01/44,43
25/01/44,30.7
26/01/44,49
27/01/44,0
28/01/44,0
29/01/44,0
30/01/44,0
31/01/44,0
01/02/44,0
02/02/44,0
03/02/44,0
04/02/44,0
05/02/44,0
06/02/44,0
07/02/44,0
08/02/44,36.7
09/02/44,0
10/02/44,0
11/02/44,0
12/02/44,0
13/02/44,0
14/02/44,0
15/02/44,0.2
16/02/44,15.6
17/02/44,26.5
18/02/44,0
19/02/44,16.7
20/02/44,15.6
21/02/44,0
22/02/44,15.8
23/02/44,5.6
24/02/44,33.5
25/02/44,28.8
26/02/44,0
27/02/44,0
28/02/44,0
29/02/44,0
01/03/44,11.5
02/03/44,0
03/03/44,28.8
04/03/44,0
05/03/44,0
06/03/44,0
07/03/44,0
08/03/44,0
09/03/44,0
10/03/44,0
11/03/44,0
12/03/44,0
13/03/44,0
14/03/44,0
15/03/44,37.8
16/03/44,0
17/03/44,0
18/03/44,0
19/03/44,0
20/03/44,0
21/03/44,0
22/03/44,0.9
23/03/44,0
24/03/44,0
25/03/44,0
26/03/44,0
27/03/44,0
28/03/44,0
