Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  11/1942;  9.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  7.5;  0.0;  0.0;  0.0;  0.0; 38.0;  0.0;  0.0;  7.8;  0.0;  0.0; 16.8;  0.0;  0.0;  0.0;  0.0; 39.5; 27.8; 56.9; 11.8;0.0;0.0;---;56.9;215.1
  12/1942;  0.0;  0.0;  9.6;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 13.0;  0.0;  0.0; 51.0;  0.0;  0.0;  5.8; 17.0;  0.0;  0.0; 19.0;  7.0; 21.0;  0.0;  4.0;  5.5;  0.0;  0.0;0.0;7.0;0.0;51.0;159.9
  01/1943; 12.0;  0.0;  0.0;  0.0; 44.0;  0.0; 26.7; 28.7;  5.7;  1.4;  0.8;  0.0;  0.0;  9.0;  9.0;  0.0;  0.0;  0.6; 33.0; 64.5;  7.5; 23.0; 12.0;  0.0; 19.5;  0.0;  0.0;  0.0;8.4;0.0;0.0;64.5;305.8
  02/1943; 26.6; 21.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 22.0;  0.8; 18.0; 74.0; 64.0; 23.0; 25.0;  0.0; 11.0;  8.0; 14.0; 17.0;  0.0;  0.0;  0.5;  0.0;  0.0;---;---;---;74.0;324.9
  03/1943; 28.2;  0.0;  0.0;  0.0;  0.0;  0.0; 37.0; 19.0; 17.0;  0.0; 23.0; 11.0; 22.0; 23.0; 18.0; 21.7;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 49.0;  0.0;  0.0; 23.8; 17.0;12.0;0.0;0.0;49.0;321.7
  04/1943;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 22.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;22.0;22.0
  05/1943;  0.8;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.6;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;0.8;1.4
  06/1943;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 28.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;28.0;28.0
  07/1943;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;0.0;0.0
  08/1943;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;0.0;0.0
